name,address,indoor,accessible,capacity
Venue 1,"97077 Monica Expressway, Seattle, WA 98101",0,1,888
Venue 2,"854 Barrett Court, Seattle, WA 98101",1,1,1423
Venue 3,"3985 Kim Motorway Suite 541, Seattle, WA 98101",0,1,9343
Venue 4,"7279 Huynh Isle, Seattle, WA 98101",0,0,9739
Venue 5,"85848 Anne Creek, Seattle, WA 98101",0,1,695
Venue 6,"5403 John Isle Suite 237, Seattle, WA 98101",1,0,8790
Venue 7,"7607 Luis Bypass Suite 354, Seattle, WA 98101",1,1,2848
Venue 8,"1461 Chavez Island Suite 004, Seattle, WA 98101",1,0,6048
Venue 9,"69364 Rodriguez Expressway, Seattle, WA 98101",1,0,9265
Venue 10,"25585 Bonilla Cove Suite 854, Seattle, WA 98101",0,1,638
